,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records
192,https://id.biodiversity.org.au/node/apni/2894680,Carex inversa,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Carex,Knob Sedge,3
193,https://id.biodiversity.org.au/node/apni/2895551,Hovea heterophylla,A.Cunn. ex Hook.f.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Hovea,Common Hovea,3
194,https://id.biodiversity.org.au/node/apni/2895918,Scutellaria humilis,R.Br.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Scutellaria,Dwarf Skullcap,3
195,https://id.biodiversity.org.au/node/apni/2895933,Euchiton japonicus,(Thunb.) Holub,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Euchiton,,3
196,https://id.biodiversity.org.au/node/apni/2898411,Hypericum perforatum,L.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Hypericaceae,Hypericum,St John's Wort,3
197,https://id.biodiversity.org.au/node/apni/2901121,Cymbonotus preissianus,Steetz,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Cymbonotus,Austral Bear's-ear,3
198,https://id.biodiversity.org.au/node/apni/2902814,Stylidium armeria,(Labill.) Labill.,species,Plantae,Charophyta,Equisetopsida,Asterales,Stylidiaceae,Stylidium,Thrift-leaved Triggerplant,3
199,https://id.biodiversity.org.au/node/apni/2903496,Acacia melanoxylon,R.Br.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Black Wattle,3
200,https://id.biodiversity.org.au/node/apni/2905928,Poranthera microphylla,Brongn.,species,Plantae,Charophyta,Equisetopsida,Malpighiales,Phyllanthaceae,Poranthera,Small Poranthera,3
201,https://id.biodiversity.org.au/node/apni/2906069,Acacia parramattensis,Tindale,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Sydney Green Wattle,3
202,https://id.biodiversity.org.au/node/apni/2906315,Lissanthe strigosa,(Sm.) R.Br.,species,Plantae,Charophyta,Equisetopsida,Ericales,Ericaceae,Lissanthe,Peach Heath,3
203,https://id.biodiversity.org.au/node/apni/2907198,Haloragis heterophylla,Brongn.,species,Plantae,Charophyta,Equisetopsida,Saxifragales,Haloragaceae,Haloragis,Perennial Raspweed,3
204,https://id.biodiversity.org.au/node/apni/2907723,Cassinia hewsoniae,Orchard,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Cassinia,Sticky Cassinia,3
205,https://id.biodiversity.org.au/node/apni/2908064,Briza maxima,L.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Briza,Great Quaking Grass,3
206,https://id.biodiversity.org.au/node/apni/2908114,Leptorhynchos squamatus,(Labill.) Less.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Leptorhynchos,Scaly Buttons,3
