,Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records
0,https://biodiversity.org.au/afd/taxa/a3e5376b-f9e6-4bdf-adae-1e7add9f5c29,Petroica (Petroica) boodang,"(Lesson, 1838)",species,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Scarlet Robin,32
1,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,Callocephalon fimbriatum,"(Grant, 1803)",species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Gang-gang Cockatoo,28
2,https://biodiversity.org.au/afd/taxa/6e872b58-55d1-443c-a30e-0d90a57e3240,Stagonopleura (Stagonopleura) guttata,"(Shaw, 1796)",species,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Stagonopleura,Diamond Firetail,17
3,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,Hieraaetus (Hieraaetus) morphnoides,"(Gould, 1841)",species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Little Eagle,12
4,https://biodiversity.org.au/afd/taxa/fe74e658-4848-437a-a23d-f1001a198552,Petroica (Littlera) phoenicea,"Gould, 1837",species,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Flame Robin,12
5,https://biodiversity.org.au/afd/taxa/8bf4b8b0-f432-4e9d-8ea6-08fc20c8090c,Daphoenositta (Neositta) chrysoptera,"(Latham, 1801)",species,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Varied Sittella,11
6,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,Polytelis swainsonii,"(Desmarest, 1826)",species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Superb Parrot,5
7,https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671,Ninox (Rhabdoglaux) strenua,"(Gould, 1838)",species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,Powerful Owl,5
8,https://id.biodiversity.org.au/node/apni/2910323,Ammobium craspedioides,Benth.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Ammobium,Yass Daisy,5
9,https://biodiversity.org.au/afd/taxa/2063bf6d-973d-4de1-bb0c-dec72f5d019b,Pachycephala (Timixos) olivacea,"Vigors & Horsfield, 1827",species,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Olive Whistler,2
10,https://biodiversity.org.au/afd/taxa/c95af018-43ab-43b8-8e14-037604db64f6,Epthianura (Epthianura) albifrons,"(Jardine & Selby, 1828)",species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Epthianura,White-fronted Chat,2
11,https://biodiversity.org.au/afd/taxa/32f9229c-89e9-4dbe-991b-d4b1c2cfbe97,Oxyura australis,"Gould, 1837",species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Blue-billed Duck,1
12,https://biodiversity.org.au/afd/taxa/5557cf29-7a94-46c3-b459-01db536ed380,Litoria verreauxii,"(Dum̩ril, 1853)",species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Verreaux's Frog,1
13,https://biodiversity.org.au/afd/taxa/a51dca29-50e7-49b4-ae35-5c35a9c4f854,Synemon plana,"Walker, 1854",species,Animalia,Arthropoda,Insecta,Lepidoptera,Castniidae,Synemon,Golden Sun Moth,1
14,https://biodiversity.org.au/afd/taxa/dc420306-4746-4663-9c2d-cf367587f728,Haliaeetus (Pontoaetus) leucogaster,"(Gmelin, 1788)",species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,White-bellied Sea-eagle,1
15,https://id.biodiversity.org.au/taxon/apni/51286043,Leucochrysum albicans,(A.Cunn.) Paul G.Wilson,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Leucochrysum,,1
16,https://id.biodiversity.org.au/taxon/apni/51290011,Eucalyptus radiata,Sieber ex DC.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Narrow-leaved Peppermint,1
